date,VASP,Gaussian,Qdyn,TEXAS,LAMMPS,GPAW,StagYY,ROMS,ParaDiS,unknown
2019-07-15,52.68,5.06,1.03,7.36,13.91,0.03,1.64,2.89,0.00,4.35
2019-07-16,50.55,1.52,14.72,3.29,4.28,0.00,1.82,2.98,0.00,7.30
2019-07-17,37.22,3.20,20.84,17.41,2.12,0.00,0.93,2.97,0.00,9.75
2019-07-18,26.90,4.59,17.48,38.46,0.72,0.00,1.05,3.09,0.00,4.74
2019-07-19,19.29,1.64,45.99,17.34,2.23,0.03,1.69,2.99,0.00,4.48
2019-07-20,20.71,3.91,30.50,15.62,11.74,0.38,1.32,2.92,0.00,6.61
2019-07-21,13.68,2.15,53.65,7.21,9.61,0.00,0.72,5.68,0.00,3.68
2019-07-22,17.80,2.23,48.02,13.68,7.34,0.18,1.00,0.00,0.00,5.77
2019-07-23,13.59,2.11,58.50,7.39,3.27,2.15,1.50,0.00,0.00,5.10
2019-07-24,24.94,5.06,30.08,10.61,9.35,3.97,1.06,0.04,0.00,6.31
2019-07-25,38.31,6.81,5.96,20.19,2.57,2.83,1.46,0.89,0.00,11.42
2019-07-26,44.98,5.06,5.19,19.74,1.53,1.80,2.34,10.52,0.00,3.80
